0    0    0    0    0    0    0    1     0.5   0     0     0     0     0     0    0    0    0
0    0    0    0    0    0    0    0     0.5   0     0     0     0     0     0    0    0    0
0    0    0    0    0    0    0    0.25  0.25  0     0.5   0     0     0     0    0    0    0
0    0    0    0.5  1    0    0    0.25  0.25  0     0.5   0     0     0     0    0    0    0
0    0    0    0    0.75 1.25 0    1     1.75  1.75  0     0     0     0     0    0    0    0
0    0    0    0.25 1    1.25 1.5  4     3.25  2.5   3     1.25  0.5   0     0    0    0    0
0    0.25 0.75 1.25 1.25 2.75 4    7     5.75  4.5   3.75  1.25  2     0     0    0    0    0
0    1.25 1.25 1    4    4.5  7.75 10    15    16.75 9     5.5   3.25  1.25  1    0.5  0    0
0.25 0.25 0.5  2    4.25 4.5  18   16    24    14.75 23.25 12.75 7.25  5.75  4.25 0.75 0    0
0.25 0.25 0    0    8    8.25 15   17.25 25    20.75 24    14.25 14.25 10    4    0.75 0.5  0
0    0.5  0.5  1.25 4.75 7.75 10   26    21.25 28    28    23    14.25 10.75 4.5  2    1    0.5
0    0    0.25 2    3.5  4.5  9    21    15.75 20.75 19.5  24    22.5  10.75 4    2.25 2.25 0.5
0    0    1.25 0.75 2    6    6.5  9.75  16    18.25 23    16.75 13.75 6.75  4.75 2.25 0.25 1.5
0    0    0    0.25 1.5  1.5  3.25 5.5   9.75  7     15.5  12.75 10.5  6.25  4.25 1.75 0.25 0
0    0    0    0.25 1    0.75 0.5  3.5   5     3     7.25  7.75  7     3.5   2.75 1.5  0.25 0
0    0    0    0    0    0    0    1     2.5   1.5   2.75  3.25  2.75  1.5   1    0.5  0.25 0
0    0    0    0    0    0    0    0     0     1     2.5   1.25  1.25  0.5   1    0.25 0.25 0
0    0    0    0    0    0    0    0     0     0     0     0.25  2.25  0     2    0    0    0
0    0    0    0    0    0    0    0     0     0     0     0     1     0     0.5  0    0    0  

