Gas	w/q	I	m/e	m/e*	v	v*
air	2.8	175	0.53	0.55	3.3	3.200
air	2.8	175	0.47	0.55	4.1	3.200
air	3.5	181	0.47	0.47	3.8	3.867
H	2.8	175	0.53	0.55	3.3	3.200
air	2.5	160	0.51	0.51	3.1	3.125
CO2	2	148	0.54	0.55	2.5	2.703
air	1.8	151	0.63	0.63	2.3	2.384
H	2.8	175	0.53	0.55	3.3	3.200
H	4.4	201	0.46	0.46	4.4	4.378
Air	2.5	176	0.61	0.62	2.8	2.841
Air	4.2	200	0.48	0.48	4.1	4.200
